Nombre,Cámara de Comercio,Número de Matrícula,Fecha de Matrícula,Estado de la matrícula,Fecha de renovación,Último año renovado,latitud,longitud,direccion
D1,MEDELLIN PARA ANTIOQUIA,48572302,2009/11/26,CANCELADA,2013/04/02,2013,4.7314337,-74.0501335,"Auto. Norte #149-29, Bogotá, Colombia"
D1,MEDELLIN PARA ANTIOQUIA,49026202,2010/03/09,CANCELADA,2013/04/03,2013,4.7314337,-74.0501335,"Auto. Norte #149-29, Bogotá, Colombia"
D1,MEDELLIN PARA ANTIOQUIA,49026302,2010/03/09,CANCELADA,2013/04/03,2013,4.7314337,-74.0501335,"Auto. Norte #149-29, Bogotá, Colombia"
D1,MEDELLIN PARA ANTIOQUIA,49418802,2010/05/21,CANCELADA,2011/03/30,2011,4.7314337,-74.0501335,"Auto. Norte #149-29, Bogotá, Colombia"
D1 - MINIMERCADO GRANADA,ORIENTE ANTIOQUENO,92450,2015/03/16,ACTIVA,2025/03/19,2025,4.7483594,-74.0487217,"Cra. 47 #167a10, Suba, Bogotá, Cundinamarca, Colombia"
D1 REMEDIOS TRONCAL,MAGDALENA MEDIO,79398,2023/02/10,ACTIVA,2025/03/27,2025,7.028363199999999,-74.6944896,"Cl. 10 #12-01, Remedios, Antioquia, Colombia"
MINI MERCADO D1 ALCALA,ABURRA SUR,158764,2012/12/03,ACTIVA,2025/03/13,2025,4.7196095,-74.0552775,"34, Cra. 49 #134, Suba, Bogotá, Colombia"
MINI MERCADO D1 AVENIDA QUITO,BOGOTA,2284054,2013/01/11,CANCELADA,2016/03/31,2016,4.7498182,-74.05914400000002,"Cl 167 #5844 #58- a, Bogotá, Colombia"
MINI MERCADO D1 AVENIDA ROJAS,BOGOTA,2284053,2013/01/11,CANCELADA,2016/03/31,2016,4.6836065,-74.0914769,"a 69p-59, Cl 72 #69p-1, Bogotá, Colombia"
MINI MERCADO D1 BELEN FATIMA,MEDELLIN PARA ANTIOQUIA,56880302,2014/04/24,ACTIVA,2025/03/21,2025,6.2371922,-75.5854242,"a 32b-71, Cra. 65CC #32b-1, Medellín, Antioquia, Colombia"
MINI MERCADO D1 BELEN LAS MERCEDES,MEDELLIN PARA ANTIOQUIA,54108702,2012/12/28,ACTIVA,2025/03/21,2025,6.2346786,-75.607592,"Cra. 84 #32 45, Medellín, Belén, Medellín, Antioquia, Colombia"
MINI MERCADO D1 BELEN SAN BERNARDO,MEDELLIN PARA ANTIOQUIA,55229502,2013/07/10,ACTIVA,2025/03/21,2025,6.224825900000001,-75.5967833,"Cl. 21 #75107 75- a, Medellín, Belén, Medellín, Antioquia, Colombia"
MINI MERCADO D1 BOLOMBOLO,MEDELLIN PARA ANTIOQUIA,54181402,2013/01/21,ACTIVA,2025/03/21,2025,5.9690886,-75.8372143,"Bolombolo, Venecia, Antioquia, Colombia"
MINI MERCADO D1 CAMPO AMOR,MEDELLIN PARA ANTIOQUIA,55229402,2013/07/10,ACTIVA,2025/03/21,2025,6.2114379,-75.5848646,"Cra. 54 #4-77, Guayabal, Medellín, Guayabal, Medellín, Antioquia, Colombia"
MINI MERCADO D1 CENTRO DE LA MODA,ABURRA SUR,158765,2012/12/03,CANCELADA,2015/03/27,2015,6.189470699999999,-75.5950835,"a 79-53,, Cra. 52D #79-3, Itagüi, Antioquia, Colombia"
MINI MERCADO D1 CHIA 2,BOGOTA,2341391,2013/07/15,CANCELADA,2016/03/31,2016,4.865501800000001,-74.03865429999999,"Av. Pradilla #6-59E, Chía, Cundinamarca, Colombia"
MINI MERCADO D1 CHIA CRA 5,BOGOTA,2264431,2012/10/11,CANCELADA,2018/03/15,2018,4.8550347,-74.0558996,"a 6a-94, Cra. 4 #62, Chía, Cundinamarca, Colombia"
MINI MERCADO D1 CONQUISTADORES,MEDELLIN PARA ANTIOQUIA,57375002,2014/07/16,CANCELADA,2017/03/24,2017,6.242246799999999,-75.5791835,"a 37-67,, Cra. 63 #371, Medellín, Antioquia, Colombia"
MINI MERCADO D1 EL DORADO,ABURRA SUR,164080,2013/07/10,ACTIVA,2025/03/13,2025,4.7084161,-74.13691700000001,"Cl 64d #113-60, Bogotá, Colombia"
MINI MERCADO D1 FUNZA SUR,FACATATIVA,83223,2013/08/02,CANCELADA,2015/03/27,2015,4.7161368,-74.20959479999999,"Cra. 12 # 16 - 53, Funza, Cundinamarca, Colombia"
MINI MERCADO D1 LA CEJA 2,ORIENTE ANTIOQUENO,77792,2012/08/09,ACTIVA,2025/03/19,2025,6.031877199999999,-75.43619170000001,"Cra. 22 #16-04, La Ceja, Antioquia, Colombia"
MINI MERCADO D1 LA MAGNOLIA,ABURRA SUR,158763,2012/12/03,ACTIVA,2025/03/13,2025,6.1753786,-75.5810332,"Tv. 32a Sur #31e20, Zona 9, Envigado, Antioquia, Colombia"
MINI MERCADO D1 LA MILAGROSA,MEDELLIN PARA ANTIOQUIA,54972302,2013/05/28,ACTIVA,2025/03/21,2025,6.237014599999999,-75.5565051,"Cl. 42 #31 50, Buenos Aires, Medellín, Buenos Aires, Medellín, Antioquia, Colombia"
MINI MERCADO D1 LAS COLINITAS,MEDELLIN PARA ANTIOQUIA,54647302,2013/04/02,ACTIVA,2025/03/21,2025,4.7410947,-74.0640511,"Cra. 59 #152B-95 Piso 2, Bogotá, Colombia"
MINI MERCADO D1 LAS MARGARITAS,ABURRA SUR,158413,2012/11/23,ACTIVA,2025/03/13,2025,4.7303669,-74.0410548,"Bogotá, Colombia"
MINI MERCADO D1 LAS VIOLETAS,MEDELLIN PARA ANTIOQUIA,54647602,2013/04/02,ACTIVA,2025/03/21,2025,6.2323538,-75.61348699999999,"Cl. 30c #89-11, Medellín, Belén, Medellín, Antioquia, Colombia"
MINI MERCADO D1 PLATINUM SUPERIOR,MEDELLIN PARA ANTIOQUIA,53875802,2012/10/25,CANCELADA,2013/04/02,2013,4.674615,-74.1207312,"Cra. 85c #25F-13, Fontibón, Bogotá, Colombia"
MINI MERCADO D1 PRADITO,MEDELLIN PARA ANTIOQUIA,54778902,2013/04/23,CANCELADA,2023/03/21,2023,4.7570497,-74.0539646,"Cl. 174a #54C-28, Bogotá, Colombia"
MINI MERCADO D1 SABANETA CES,ABURRA SUR,146525,2011/07/06,ACTIVA,2025/03/13,2025,6.1578341,-75.60399319999999,"Cl. 53C Sur #40-160, Zona 7, Sabaneta, Envigado, Antioquia, Colombia"
MINI MERCADO D1 SABANETA VEGAS,ABURRA SUR,158766,2012/12/03,ACTIVA,2025/03/13,2025,6.155136199999999,-75.611683,"Cl. 62 Sur #44-85, Sabaneta, Antioquia, Colombia"
MINI MERCADO D1 SAN FERNANDO,BOGOTA,2273749,2012/11/14,CANCELADA,2018/03/15,2018,4.676180100000001,-74.0812789,"Cra. 64 #74-2, Bogotá, Colombia"
MINI MERCADO D1 SAN JOAQUIN,MEDELLIN PARA ANTIOQUIA,54107402,2012/12/27,CANCELADA,2018/03/27,2018,4.7483333,-74.0582385,"Cra. 56 #165b-2, Bogotá, Colombia"
MINI MERCADO D1 TITIRIBI,MEDELLIN PARA ANTIOQUIA,54107602,2012/12/27,ACTIVA,2025/03/21,2025,6.063345699999999,-75.79438259999999,"a 21-81,, Cra. 21 #21-1, Titiribi, Titiribí, Antioquia, Colombia"
MINIMERCADO 11 PARQUE BOLIVAR,MEDELLIN PARA ANTIOQUIA,55654502,2013/09/23,ACTIVA,2025/03/21,2025,4.5835188,-74.0924762,"Ac. 11 Sur #11 A-33, Bogotá, Colombia"
MINIMERCADO D 1 EL HUECO,MEDELLIN PARA ANTIOQUIA,53614202,2012/09/07,CANCELADA,2016/03/31,2016,6.2488766,-75.5716365,"Cl. 48 #53-53, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia, Colombia"
MINIMERCADO D1 # 3,ABURRA SUR,136975,2010/03/24,CANCELADA,2013/03/22,2013,,,
MINIMERCADO D1 AGUADAS,MANIZALES,201482,2019/07/05,ACTIVA,2025/03/14,2025,5.613380200000001,-75.4573154,"Cra. 6 #6-19, Aguadas, Caldas, Colombia"
MINIMERCADO D1 AJIZAL,ABURRA SUR,195367,2016/12/14,ACTIVA,2025/03/13,2025,6.1909623,-75.6022498,"a 57-388,, Cl. 76 #57-72, Itagüi, Antioquia, Colombia"
MINIMERCADO D1 AMAGA 1,MEDELLIN PARA ANTIOQUIA,58208302,2014/12/16,ACTIVA,2025/03/21,2025,6.034876400000001,-75.7021656,"Cra. 48 #45-100, Amaga, Amagá, Antioquia, Colombia"
MINIMERCADO D1 AMAGA 2,MEDELLIN PARA ANTIOQUIA,53256602,2012/07/05,ACTIVA,2025/03/21,2025,6.040212599999999,-75.703476,"Cl. 50, Amaga, Amagá, Antioquia, Colombia"
MINIMERCADO D1 ANCON,ABURRA SUR,192807,2016/08/23,CANCELADA,2021/03/03,2021,4.449663399999999,-75.2336593,"Cl. 16a #10-40, Ibagué, Tolima, Colombia"
MINIMERCADO D1 ANDES,MEDELLIN PARA ANTIOQUIA,64701502,2017/11/17,ACTIVA,2025/03/21,2025,4.687455100000001,-74.0669734,"Cl. 98a #60-92, Bogotá, Colombia"
MINIMERCADO D1 ANDES 2,MEDELLIN PARA ANTIOQUIA,66548502,2018/08/29,ACTIVA,2025/03/21,2025,5.6583613,-75.8791911,"Andes, Antioquia, Colombia"
MINIMERCADO D1 ASDESILLAS,ABURRA SUR,151392,2012/03/01,ACTIVA,2025/03/13,2025,4.7199366,-74.0799954,"Cl. 128b #79a, Bogotá, Colombia"
MINIMERCADO D1 BARICHARA,MEDELLIN PARA ANTIOQUIA,68882602,2019/08/20,ACTIVA,2025/03/21,2025,6.6354903,-73.22212680000001,"Cra. 7 #6-89, Barichara, Santander, Colombia"
MINIMERCADO D1 BARRIO TRIANA,ABURRA SUR,211626,2018/07/23,ACTIVA,2025/03/13,2025,6.1698492,-75.63764429999999,"San Gabriel, Itagüi, Antioquia, Colombia"
MINIMERCADO D1 BARRIO TRINIDAD,MEDELLIN PARA ANTIOQUIA,49985702,2010/09/23,ACTIVA,2025/03/21,2025,6.2251851,-75.5868181,"Cl. 25 #65F-63, Guayabal, Medellín, Guayabal, Medellín, Antioquia, Colombia"
MINIMERCADO D1 BELEN,MEDELLIN PARA ANTIOQUIA,48572402,2009/11/26,ACTIVA,2025/03/21,2025,4.5899917,-74.0724973,"Cl. 6 #0-44, este, Bogotá, Colombia"
MINIMERCADO D1 BELEN ALABAMA,MEDELLIN PARA ANTIOQUIA,67867002,2019/03/21,CANCELADA,2022/03/14,2022,6.2334041,-75.589513,"Cra. 69 #30a-93, Medellín, Belén, Medellín, Antioquia, Colombia"
MINIMERCADO D1 BELEN ALMENDROS,MEDELLIN PARA ANTIOQUIA,50317702,2010/12/16,ACTIVA,2025/03/21,2025,6.238788,-75.5958698,"Av. 33 #75c-109, Medellín, Belén, Medellín, Antioquia, Colombia"
MINIMERCADO D1 BELEN ALPES PLAZA,MEDELLIN PARA ANTIOQUIA,50120502,2010/10/21,ACTIVA,2025/03/21,2025,6.231725399999999,-75.60321309999999,"Av. Universidad de Medellín, Medellín, Belén, Medellín, Antioquia, Colombia"
MINIMERCADO D1 BELEN CAFETERO,MEDELLIN PARA ANTIOQUIA,70243502,2020/05/18,ACTIVA,2025/03/21,2025,6.2388733,-75.58615259999999,"Cl. 32F #65d-90, Medellín, Belén, Medellín, Antioquia, Colombia"
MINIMERCADO D1 BELEN GRANADA,MEDELLIN PARA ANTIOQUIA,55866102,2013/10/31,ACTIVA,2025/03/21,2025,6.230727,-75.592674,"Cra. 72 #29-1 29-107 a, Medellín, Belén, Medellín, Antioquia, Colombia"
MINIMERCADO D1 BELEN LA 76,MEDELLIN PARA ANTIOQUIA,66548602,2018/08/29,ACTIVA,2025/03/21,2025,6.2275429,-75.5964679,"Cra. 76 #25-2 a 25-56, Medellín, Belén, Medellín, Antioquia, Colombia"
MINIMERCADO D1 BELEN RINCON,MEDELLIN PARA ANTIOQUIA,62332502,2016/11/22,ACTIVA,2025/03/21,2025,6.213209699999999,-75.601796,"Cra. 78b #2a-52, Medellín, Belén, Medellín, Antioquia, Colombia"
MINIMERCADO D1 BELLO PLAYA RICA,MEDELLIN PARA ANTIOQUIA,55463202,2013/08/21,CANCELADA,2017/07/28,2017,6.341475699999999,-75.56526,"Cl. 58 #59 - 66, Playa Rica, Bello, Antioquia, Colombia"
MINIMERCADO D1 BETANIA,MEDELLIN PARA ANTIOQUIA,67938502,2019/03/29,ACTIVA,2025/03/21,2025,5.746274,-75.97730399999999,"Cl. 15 #4-43 a 4-1, Betania, Antioquia, Colombia"
MINIMERCADO D1 BETULIA,MEDELLIN PARA ANTIOQUIA,70191702,2020/04/30,ACTIVA,2025/03/21,2025,6.1138486,-75.98551309999999,"Cl. 21 #22 - 23, Betulia, Antioquia, Colombia"
MINIMERCADO D1 BODEGA LA ESTRELLA,ABURRA SUR,141278,2010/10/27,ACTIVA,2025/03/13,2025,6.1620966,-75.63600290000001,"Cra. 54 #75aa Sur-117 a, Cl. 75 AA Sur #267, La Estrella, Antioquia, Colombia"
MINIMERCADO D1 BUCAREST,ABURRA SUR,191446,2016/07/05,ACTIVA,2025/03/13,2025,4.7570497,-74.0539646,"Cl. 174a #54C-28, Bogotá, Colombia"
MINIMERCADO D1 CALATRAVA,ABURRA SUR,224986,2019/10/17,ACTIVA,2025/03/13,2025,6.1798696,-75.61054829999999,"Cl. 56 # 60-38, Fatima, Itagüi, Antioquia, Colombia"
MINIMERCADO D1 CALDAS,ABURRA SUR,141118,2010/10/19,ACTIVA,2025/03/13,2025,6.0793217,-75.63483939999999,"Cra. 50 #145 Sur-83, Caldas, Medellín, Antioquia, Colombia"
MINIMERCADO D1 CALDAS HOSPITAL,ABURRA SUR,215114,2018/11/14,ACTIVA,2025/03/13,2025,6.0875875,-75.6351404,"Cra. 49 #134 Sur-1 a 134 Sur-103, Caldas, Antioquia, Colombia"
MINIMERCADO D1 CALDAS LA DOCENA,ABURRA SUR,180925,2015/05/26,ACTIVA,2025/03/13,2025,6.0951698,-75.6361841,"Cl. 125 Sur #75, Caldas, Antioquia, Colombia"
MINIMERCADO D1 CARMEN DE ATRATO,CHOCÓ,5827802,2020/02/12,ACTIVA,2025/03/14,2025,5.898122499999999,-76.1429881,"Cra. 2 #3-32, El Carmen de Atrato, Chocó, Colombia"
MINIMERCADO D1 CARMEN DE VIBORAL,ORIENTE ANTIOQUENO,74738,2011/12/19,ACTIVA,2025/03/19,2025,6.0807712,-75.3341885,"Cl. 27 #30-104 30-2 a, El Carmen de Viboral, Antioquia, Colombia"
MINIMERCADO D1 CASTROPOL,MEDELLIN PARA ANTIOQUIA,60935102,2016/04/07,ACTIVA,2025/03/21,2025,6.2153591,-75.5647862,"Cl. 15b #35a-190, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia"
MINIMERCADO D1 CEDI SUR,ABURRA SUR,224985,2019/10/17,ACTIVA,2025/03/13,2025,6.130073299999999,-75.6345817,"Cl. 97b Sur #50, La Estrella, Antioquia, Colombia"
MINIMERCADO D1 CENTRO DE LA MODA 2,ABURRA SUR,179803,2015/04/10,ACTIVA,2025/03/13,2025,6.190087,-75.59526579999999,"Cl. 81 #52d66, Villa Central, Itagüi, Antioquia, Colombia"
MINIMERCADO D1 CHINGUI,ABURRA SUR,207973,2018/03/15,ACTIVA,2025/03/13,2025,6.1517586,-75.5762889,"Zona 6, Envigado, Antioquia, Colombia"
MINIMERCADO D1 CIUDAD BOLIVAR,MEDELLIN PARA ANTIOQUIA,58248302,2014/12/26,ACTIVA,2025/03/21,2025,4.5757829,-74.15459179999999,"Avenida, Cl. 68 Sur #46a-4, Bogotá, Colombia"
MINIMERCADO D1 CONCORDIA,MEDELLIN PARA ANTIOQUIA,67050302,2018/11/14,ACTIVA,2025/03/21,2025,6.046990699999999,-75.90875059999999,"Cra. 20 #21-29, Concordia, Antioquia, Colombia"
MINIMERCADO D1 CRISTO REY,MEDELLIN PARA ANTIOQUIA,53162302,2012/06/19,ACTIVA,2025/03/21,2025,6.2056982,-75.5837421,"Cl. 2 Sur #50F-38, Guayabal, Medellín, Guayabal, Medellín, Antioquia, Colombia"
MINIMERCADO D1 DE MODA OUTLET,MEDELLIN PARA ANTIOQUIA,69046402,2019/09/13,ACTIVA,2025/03/21,2025,6.219639799999999,-75.5832162,"Cl. 16 #55-97, Guayabal, Medellín, Guayabal, Medellín, Antioquia, Colombia"
MINIMERCADO D1 DURESPO,ABURRA SUR,227598,2020/02/07,ACTIVA,2025/03/14,2025,6.160759199999999,-75.61734659999999,"Cra 42 # 29-67, San Jose, Itagüi, Antioquia, Colombia"
MINIMERCADO D1 EL BOLO,MEDELLIN PARA ANTIOQUIA,61863102,2016/09/01,ACTIVA,2025/03/21,2025,6.1962261,-75.5921947,"# a 12c 52,, Cl 12 Sur, Vivendas del Sur, Medellín, Antioquia, Colombia"
MINIMERCADO D1 EL CARMEN 2,ORIENTE ANTIOQUENO,78554,2012/09/12,ACTIVA,2025/03/19,2025,6.0858222,-75.3368977,"a 30a-50, Cl 34 #30a-2, El Carmen de Viboral, Antioquia, Colombia"
MINIMERCADO D1 EL CHAGUALO,MEDELLIN PARA ANTIOQUIA,57219002,2014/06/17,ACTIVA,2025/03/21,2025,6.2602801,-75.5715168,"Cl. 61 #56a-17, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia, Colombia"
MINIMERCADO D1 EL PEÑOL,ORIENTE ANTIOQUENO,82810,2013/04/29,ACTIVA,2025/03/19,2025,6.2164693,-75.2385948,"Cl. 10 #20, Peñol, Antioquia, Colombia"
MINIMERCADO D1 EL PORTAL DEL SUR,ABURRA SUR,182266,2015/07/14,CANCELADA,2017/03/16,2017,4.6254164,-74.16893320000001,"Cra. 81g #42J-11 SUR, Bosa, Bogotá, Colombia"
MINIMERCADO D1 EL RETIRO,ORIENTE ANTIOQUENO,74707,2011/12/13,ACTIVA,2025/03/19,2025,6.057006599999999,-75.5020078,"Cl. 19 # 19 - 47, Retiro, Antioquia, Colombia"
MINIMERCADO D1 EL RODEO,MEDELLIN PARA ANTIOQUIA,52833902,2012/04/17,ACTIVA,2025/03/21,2025,6.2025599,-75.60149009999999,"Cl. 9 Sur #79-45, La Hondonada, Medellín, Belén, Medellín, Antioquia, Colombia"
MINIMERCADO D1 ENVIGADO BARRIO MESA,ABURRA SUR,186747,2016/01/27,ACTIVA,2025/03/13,2025,6.1665183,-75.583929,"Cl 38A Sur #35-32, Zona 9, Envigado, Antioquia, Colombia"
MINIMERCADO D1 ENVIGADO LAS PALMAS,ABURRA SUR,165177,2013/08/20,ACTIVA,2025/03/20,2025,6.1501274,-75.5311116,"Las Palmas-La Fé, Envigado, Vda. El Penasco, Envigado, Antioquia, Colombia"
MINIMERCADO D1 ENVIGADO PARQUE,ABURRA SUR,144967,2011/05/02,ACTIVA,2025/03/13,2025,6.1696958,-75.5853628,"Cra. 40 #36 Sur-21, Zona 9, Envigado, Antioquia, Colombia"
MINIMERCADO D1 ENVIGADO SAN JOSE,ABURRA SUR,185000,2015/10/23,ACTIVA,2025/03/13,2025,6.1625628,-75.5825129,"Cl. 40 Sur #30-49, Zona 6, Envigado, Antioquia, Colombia"
MINIMERCADO D1 ESCOBERO ALTO,ABURRA SUR,177027,2014/12/26,ACTIVA,2025/03/13,2025,6.160092,-75.5673894,"Cl. 36d Sur #25 A -71, Quinta Del Palmar, Envigado, Antioquia, Colombia"
MINIMERCADO D1 ESTRELLA LA ISLA,ABURRA SUR,225977,2019/12/05,ACTIVA,2025/03/14,2025,6.1341157,-75.63417299999999,"Cra. 50 #96, La Estrella, Antioquia, Colombia"
MINIMERCADO D1 EXPOSICIONES,MEDELLIN PARA ANTIOQUIA,62021202,2016/09/27,ACTIVA,2025/03/21,2025,6.238137099999999,-75.5734401,"Cra. 51 #36-51, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia, Colombia"
MINIMERCADO D1 FREDONIA,MEDELLIN PARA ANTIOQUIA,53137302,2012/06/13,ACTIVA,2025/03/21,2025,5.9278163,-75.67195939999999,"Cra. 50 #50-34, Fredonia, Antioquia, Colombia"
MINIMERCADO D1 GUARNE,ORIENTE ANTIOQUENO,79836,2012/10/24,ACTIVA,2025/03/19,2025,6.2763908,-75.4404119,"a 50-22, Cl. 44 #502, Guarne, Antioquia, Colombia"
MINIMERCADO D1 GUARNE 2,ORIENTE ANTIOQUENO,93729,2015/06/23,ACTIVA,2025/03/19,2025,6.2763908,-75.4404119,"a 50-22, Cl. 44 #502, Guarne, Antioquia, Colombia"
MINIMERCADO D1 GUAYABAL,MEDELLIN PARA ANTIOQUIA,64475602,2017/10/09,ACTIVA,2025/03/21,2025,6.202207899999999,-75.5854834,"Cra #51, Guayabal, Medellín, Guayabal, Medellín, Antioquia, Colombia"
MINIMERCADO D1 HISPANIA,MEDELLIN PARA ANTIOQUIA,69410502,2019/11/18,ACTIVA,2025/03/21,2025,5.799925,-75.9076872,"a 50-83,, Cra. 51, #501, Hispania, Antioquia, Colombia"
MINIMERCADO D1 HORIZONTES,MEDELLIN PARA ANTIOQUIA,61157002,2016/05/10,ACTIVA,2025/03/21,2025,6.185892099999999,-75.65324389999999,"a 6-123,, Cl. 39D Sur #6-39, San Antonio de Prado, Medellín, Antioquia, Colombia"
MINIMERCADO D1 HOTEL NUTIBARA,MEDELLIN PARA ANTIOQUIA,58405602,2015/01/27,ACTIVA,2025/03/21,2025,6.2525879,-75.5674793,"Cra. 51 #53-17, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia, Colombia"
MINIMERCADO D1 INDEPENDENCIAS,ABURRA SUR,187518,2016/02/18,ACTIVA,2025/03/13,2025,4.620068499999999,-74.1974688,"Cl. 71a Sur #87b-69, Bogotá, Colombia"
MINIMERCADO D1 ITAGUI EL CARMELO,ABURRA SUR,176317,2014/11/11,ACTIVA,2025/03/13,2025,6.1909623,-75.6022498,"a 57-388,, Cl. 76 #57-72, Itagüi, Antioquia, Colombia"
MINIMERCADO D1 ITAGUI EL ROSARIO,ABURRA SUR,230988,2020/07/03,ACTIVA,2025/03/14,2025,6.1753825,-75.6121708,"Cl. 48 #56-05, Fatima, Itagüi, Antioquia, Colombia"
MINIMERCADO D1 ITAGUI LA 39,ABURRA SUR,220799,2019/05/28,CANCELADA,2023/03/17,2023,6.1690257,-75.61766399999999,"Cl. 39 #49-180, Germania, Itagüi, Antioquia, Colombia"
MINIMERCADO D1 ITAGUI LAS ASTURIAS,ABURRA SUR,155230,2012/08/09,ACTIVA,2025/03/13,2025,6.1690499,-75.6114178,"Cra. 48 #46-36, Villa Paula, Itagüi, Antioquia, Colombia"
MINIMERCADO D1 ITAGUI LAS MERCEDES,ABURRA SUR,150194,2012/01/18,ACTIVA,2025/03/13,2025,6.169441300000001,-75.6139597,"Cl. 43 #49-52, Germania, Itagüi, Antioquia, Colombia"
MINIMERCADO D1 ITAGUI PARQUE,ABURRA SUR,135227,2009/11/24,ACTIVA,2025/03/13,2025,6.1738205,-75.6071954,"a 53a-113,, Cra. 51 #53a-57, Itagüi, Antioquia, Colombia"
MINIMERCADO D1 ITAGUI PLAYA RICA,ABURRA SUR,229063,2020/03/17,ACTIVA,2025/03/14,2025,6.1727059,-75.6130754,"Cl. 46 #5242, Fatima, Itagüi, Antioquia, Colombia"
MINIMERCADO D1 ITAGUI SIMON BOLIVAR,ABURRA SUR,138925,2010/06/30,ACTIVA,2025/03/13,2025,6.1793619,-75.5986988,"Cl. 65 #46a-90, Riachuelos, Itagüi, Medellín, Antioquia, Colombia"
MINIMERCADO D1 ITAGUI TRANSITO,ABURRA SUR,194966,2016/11/17,ACTIVA,2025/03/13,2025,6.1699027,-75.608862,"Cl. 50 #47A-03, Villa Paula, Itagüi, Antioquia, Colombia"
MINIMERCADO D1 JARDIN,MEDELLIN PARA ANTIOQUIA,64701602,2017/11/17,ACTIVA,2025/03/21,2025,5.5971551,-75.8198395,"Cra. 7 #54 9, Jardín, Antioquia, Colombia"
MINIMERCADO D1 JERICO,MEDELLIN PARA ANTIOQUIA,68031602,2019/04/10,ACTIVA,2025/03/21,2025,5.7896334,-75.7856383,"Cra. 7 #7-59, Jericó, Antioquia, Colombia"
MINIMERCADO D1 LA 10,MEDELLIN PARA ANTIOQUIA,52931602,2012/05/04,CANCELADA,2015/03/30,2015,4.6945861,-74.04961399999999,"Cl. 109 #18b1, Bogotá, Colombia"
MINIMERCADO D1 LA 80 X 30,MEDELLIN PARA ANTIOQUIA,49026502,2010/03/09,ACTIVA,2025/03/21,2025,4.6886051,-74.0831809,"Cl. 80 #69h, Cl. 73A #69h-3, Bogotá, Colombia"
MINIMERCADO D1 LA CASTELLANA,MEDELLIN PARA ANTIOQUIA,60264502,2015/12/15,ACTIVA,2025/03/21,2025,4.680488,-74.0590843,"Cl. 93 #44, Bogotá, Colombia"
MINIMERCADO D1 LA CEJA,ORIENTE ANTIOQUENO,70578,2010/12/16,ACTIVA,2025/03/19,2025,6.0300145,-75.4311754,"a 20-106, Cra. 17 #20-2, La Ceja, Antioquia, Colombia"
MINIMERCADO D1 LA CEJA 3,ORIENTE ANTIOQUENO,79895,2012/10/25,ACTIVA,2025/03/19,2025,6.0345532,-75.42993369999999,"Cra. 20 Antioquia #24-56, La Ceja, Antioquia, Colombia"
MINIMERCADO D1 LA CEJA 4,ORIENTE ANTIOQUENO,93183,2015/05/06,ACTIVA,2025/03/19,2025,6.0319762,-75.43616209999999,"19-2 a, Cl. 28, La Ceja, Antioquia, Colombia"
MINIMERCADO D1 LA ESTRELLA,ABURRA SUR,141120,2010/10/19,ACTIVA,2025/03/13,2025,6.1582555,-75.6440582,"a 61-105,, Pueblo Viejo, Cl. 80 Sur #61-1, La Estrella, Antioquia, Colombia"
MINIMERCADO D1 LA ESTRELLA CENTENARIO,ABURRA SUR,215713,2018/12/20,ACTIVA,2025/03/13,2025,6.161372500000001,-75.6423246,"Unnamed Road, Pueblo Viejo, La Estrella, Antioquia, Colombia"
MINIMERCADO D1 LA MINA,ABURRA SUR,162943,2013/05/28,ACTIVA,2025/03/13,2025,6.1534033,-75.58461,"Cl. 41 Sur #25-48, Zona 6, Envigado, Antioquia, Colombia"
MINIMERCADO D1 LA PINTADA,MEDELLIN PARA ANTIOQUIA,64434702,2017/10/03,ACTIVA,2025/03/21,2025,5.740660699999999,-75.6066218,"Rafael Uribe Uribe, La Pintada, Antioquia, Colombia"
MINIMERCADO D1 LA PRESENTACION,ABURRA SUR,156185,2012/09/11,CANCELADA,2024/03/19,2024,4.7498182,-74.05914400000002,"Cl 167 #5844 #58- a, Bogotá, Colombia"
MINIMERCADO D1 LA SEBASTIANA,ABURRA SUR,181810,2015/06/25,ACTIVA,2025/03/13,2025,6.170605399999999,-75.57950989999999,"Dg. 31 #34e Sur-54, Uribe Angel, Envigado, Antioquia, Colombia"
MINIMERCADO D1 LA UNION,ORIENTE ANTIOQUENO,79901,2012/10/25,ACTIVA,2025/03/19,2025,5.973737799999999,-75.3608362,"Cra. 9 #10-36, La Unión, Antioquia, Colombia"
MINIMERCADO D1 LAS LOMAS,MEDELLIN PARA ANTIOQUIA,60149502,2015/11/12,ACTIVA,2025/03/21,2025,4.5635195,-74.1079728,"Cra 9 F #40 sur, Bogotá, Colombia"
MINIMERCADO D1 LLANO GRANDE,ORIENTE ANTIOQUENO,80562,2012/11/13,ACTIVA,2025/03/19,2025,6.1330753,-75.40261070000001,"Rionegro, Antioquia, Colombia"
MINIMERCADO D1 LOMA DEL ESCOBERO,ABURRA SUR,143559,2011/03/04,CANCELADA,2016/03/30,2016,6.167451,-75.5612064,"Loma la Esmeralda, Envigado, Antioquia, Colombia"
